skills/dates,SQL,Python,azure,Networking,HTML/CSS Markup,Oracle,Linux,Cloud Architecture,Communication,aws 
2022-11-09,1,1,3,1,1,4,5,5,2,9
2022-11-10,6,8,4,1,5,8,6,4,7,3
2022-11-11,7,8,5,5,6,6,5,1,6,9
2022-11-12,1,3,3,4,5,8,3,1,9,6
2022-11-13,7,6,7,9,9,4,4,3,7,3
2022-11-14,6,4,3,1,5,4,3,3,4,3
2022-11-15,9,5,1,8,4,5,1,8,2,9
2022-11-16,9,5,5,9,2,6,6,4,3,3
2022-11-17,6,8,7,4,4,7,8,5,1,2
2022-11-18,5,1,3,7,2,6,9,7,3,7
2022-11-19,8,4,6,1,2,5,6,9,5,1
2022-11-20,2,1,4,6,8,6,7,5,7,6
2022-11-21,2,1,4,7,2,4,5,2,2,4
2022-11-22,5,9,6,7,1,7,7,9,1,8
2022-11-23,2,5,2,8,7,8,6,3,4,6
2022-11-24,6,3,4,7,8,7,5,9,3,4
2022-11-25,8,5,1,2,6,6,9,9,8,9
2022-11-26,9,7,4,5,5,6,3,9,3,6
2022-11-27,9,9,7,3,4,3,8,5,2,9
2022-11-28,3,9,4,1,8,3,2,1,7,8
2022-11-29,5,3,2,7,5,7,3,2,4,7
2022-11-30,6,5,5,9,3,2,8,2,4,4
2022-12-01,3,2,6,5,4,5,4,2,7,9
2022-12-02,7,7,7,6,1,3,6,8,1,6
2022-12-03,9,4,7,2,8,3,9,6,8,7
2022-12-04,6,8,9,6,7,7,5,5,1,8
2022-12-05,7,7,3,2,3,1,2,5,1,7
2022-12-06,2,9,5,6,2,7,2,5,1,5
2022-12-07,9,5,3,3,3,3,9,3,6,9
2022-12-08,3,5,8,8,9,4,3,6,8,5
2022-12-09,5,8,9,5,7,8,3,9,6,7
2022-12-10,4,5,8,4,3,9,6,6,2,6
2022-12-11,6,3,5,2,6,3,1,9,8,9
2022-12-12,9,5,8,8,2,2,6,4,1,4
2022-12-13,3,7,1,8,2,3,1,1,7,6
2022-12-14,8,9,2,3,7,6,6,7,5,5
2022-12-15,2,5,2,1,5,2,9,8,8,1
2022-12-16,4,5,3,5,9,4,1,3,1,8
2022-12-17,4,1,2,6,8,6,5,8,1,6
2022-12-18,7,9,3,1,6,8,2,5,5,2
2022-12-19,2,7,6,5,9,9,8,2,9,7
2022-12-20,4,6,6,3,8,3,2,8,1,6
2022-12-21,2,8,5,6,6,4,7,1,8,6
2022-12-22,2,8,6,8,9,8,8,7,9,2
2022-12-23,4,7,9,8,6,8,3,2,7,4
2022-12-24,2,8,4,7,2,2,8,4,4,7
2022-12-25,4,3,6,7,4,7,7,7,3,5
2022-12-26,8,9,6,3,3,5,6,8,5,7
2022-12-27,9,1,4,6,1,3,6,3,3,2
2022-12-28,3,2,3,9,3,8,6,2,5,1
2022-12-29,8,4,1,6,5,1,1,6,3,9
2022-12-30,6,6,8,1,8,3,2,8,9,6
2022-12-31,4,9,4,2,3,1,8,5,5,9
2023-01-01,1,5,7,7,6,8,6,4,5,5
2023-01-02,5,7,1,1,7,6,1,4,6,9
2023-01-03,9,5,7,8,9,6,6,9,9,8
2023-01-04,2,9,3,7,1,4,5,8,9,2
2023-01-05,9,5,1,7,1,6,9,1,7,1
2023-01-06,4,9,8,1,2,8,3,8,9,4
2023-01-07,8,1,1,6,1,9,2,7,4,5
2023-01-08,6,1,6,7,3,1,3,2,9,1
2023-01-09,2,7,9,5,3,5,6,5,9,4
2023-01-10,5,4,9,6,3,5,5,6,2,9
2023-01-11,8,1,9,2,5,5,6,2,2,9
2023-01-12,7,2,5,1,8,2,8,3,1,3
2023-01-13,3,2,5,5,4,7,4,8,3,4
2023-01-14,5,5,2,4,2,6,7,7,8,4
2023-01-15,8,1,7,2,4,6,2,2,7,9
2023-01-16,9,1,7,7,5,5,9,4,1,6
2023-01-17,4,7,6,3,2,1,9,3,4,5
2023-01-18,8,3,2,2,6,1,9,4,6,8
2023-01-19,8,7,7,8,6,2,9,7,5,5
2023-01-20,6,1,8,5,4,5,5,4,1,4
2023-01-21,1,5,6,7,5,7,4,5,9,6
2023-01-22,5,3,2,4,4,8,1,8,4,3
2023-01-23,4,7,6,5,4,9,7,6,6,6
2023-01-24,8,6,7,8,5,2,7,2,2,9
2023-01-25,6,7,6,2,6,2,9,2,4,7
2023-01-26,1,6,1,4,2,9,3,7,2,7
2023-01-27,2,2,9,6,9,2,5,1,6,3
2023-01-28,8,6,8,2,8,7,1,5,4,6
2023-01-29,7,6,1,7,4,8,8,5,2,5
2023-01-30,5,7,8,7,9,6,5,8,4,3
2023-01-31,2,4,6,5,7,1,8,5,6,9
2023-02-01,5,1,7,9,5,3,5,8,5,7
2023-02-02,3,5,2,6,5,2,3,2,5,7
2023-02-03,4,2,7,5,3,3,8,1,6,7
2023-02-04,8,6,4,7,6,9,7,3,2,6
2023-02-05,4,1,7,3,2,5,1,6,3,2
2023-02-06,9,6,7,6,8,9,8,9,6,1
2023-02-07,3,6,4,3,3,8,6,6,3,9
2023-02-08,1,9,9,7,4,9,6,9,7,7
2023-02-09,8,9,3,5,6,1,8,7,1,3
2023-02-10,3,3,6,8,5,4,5,9,4,5
2023-02-11,3,1,4,6,9,5,7,7,9,7
2023-02-12,4,1,8,9,8,1,8,4,8,7
2023-02-13,6,7,6,7,2,9,4,7,5,2
2023-02-14,4,2,2,7,1,6,9,1,5,6
2023-02-15,8,8,7,8,7,7,2,7,7,6
2023-02-16,4,3,2,7,5,8,1,9,8,2
2023-02-17,3,5,8,7,5,4,5,8,6,3
2023-02-18,9,1,7,6,2,8,2,2,4,1
2023-02-19,4,1,6,2,6,3,2,1,3,1
2023-02-20,2,9,9,9,6,4,8,7,8,6
2023-02-21,3,1,7,3,8,9,1,9,2,9
2023-02-22,8,3,8,9,4,1,6,4,2,1
2023-02-23,6,3,6,5,8,3,9,3,1,3
2023-02-24,1,4,2,7,2,5,3,8,8,4
2023-02-25,3,3,8,1,6,5,8,6,8,5
2023-02-26,4,8,6,6,8,6,8,3,7,4
2023-02-27,7,1,7,8,8,4,1,2,6,4
2023-02-28,5,4,6,4,7,6,2,8,5,2
2023-03-01,5,1,5,1,6,2,7,3,4,9
2023-03-02,7,6,3,7,7,7,8,1,1,9
2023-03-03,8,1,2,5,2,9,8,5,3,5
2023-03-04,7,5,3,3,8,4,5,9,8,3
2023-03-05,5,3,5,3,8,5,6,2,6,3
2023-03-06,5,8,6,9,6,9,4,1,3,6
2023-03-07,3,6,6,9,7,8,5,7,8,2
2023-03-08,7,3,4,7,4,6,9,6,4,1
2023-03-09,9,1,5,1,9,7,8,6,5,2
2023-03-10,5,3,6,5,7,9,8,5,7,4
2023-03-11,1,5,8,7,1,4,1,1,3,3
2023-03-12,9,8,6,1,6,1,2,2,6,4
2023-03-13,9,7,5,6,1,8,1,2,1,9
2023-03-14,7,1,8,4,9,6,8,7,7,7
2023-03-15,4,2,9,4,8,2,1,6,7,3
2023-03-16,4,2,9,8,1,7,8,6,6,7
2023-03-17,2,4,3,5,8,2,5,1,5,3
2023-03-18,3,5,2,8,4,9,6,7,3,5
2023-03-19,9,9,5,7,2,8,1,5,5,2
2023-03-20,1,2,3,5,4,7,3,8,3,5
2023-03-21,5,6,7,7,7,1,9,8,7,6
2023-03-22,5,6,2,7,4,2,4,4,7,3
2023-03-23,5,2,4,8,6,9,5,4,6,4
2023-03-24,7,5,5,6,8,7,3,5,9,4
2023-03-25,2,1,8,6,4,7,3,3,3,4
2023-03-26,2,9,7,3,4,9,5,2,6,2
2023-03-27,9,9,7,1,5,6,6,4,4,2
