skills/dates,Linux,aws,Unix,Oracle,Python,Maven,Java,Cloud,Devops,Scrum
2023-01-30,1,2,2,7,1,4,6,2,4,9
2023-01-31,4,3,3,3,8,8,5,9,4,5
2023-02-01,4,5,7,9,4,3,6,8,7,7
2023-02-02,3,6,5,3,7,7,7,9,7,1
2023-02-03,5,5,1,2,2,5,1,7,9,1
2023-02-04,4,9,5,8,7,3,9,2,7,1
2023-02-05,1,3,1,3,6,5,3,3,6,7
2023-02-06,1,5,1,3,4,5,2,8,9,5
2023-02-07,8,9,2,6,2,3,9,6,6,3
2023-02-08,5,3,3,6,3,2,4,1,3,2
2023-02-09,7,8,2,8,6,4,5,2,3,4
2023-02-10,4,5,7,3,1,5,7,6,2,2
2023-02-11,6,5,9,7,8,5,4,9,2,1
2023-02-12,3,5,8,1,7,2,4,7,9,8
2023-02-13,1,8,2,7,8,6,5,4,3,7
2023-02-14,8,1,7,9,4,6,2,2,5,9
2023-02-15,3,7,8,7,9,8,6,8,2,8
2023-02-16,4,6,2,9,1,6,1,5,5,8
2023-02-17,6,6,8,8,1,8,9,7,5,7
2023-02-18,9,1,3,3,8,5,1,4,3,3
2023-02-19,7,4,3,2,8,7,7,6,7,1
2023-02-20,7,3,9,2,4,8,1,7,6,1
2023-02-21,3,5,5,1,6,4,1,5,1,3
2023-02-22,2,5,5,6,8,8,1,4,9,6
2023-02-23,7,3,6,8,6,5,6,9,1,6
2023-02-24,8,8,2,4,7,6,8,7,7,3
2023-02-25,7,6,8,2,5,3,1,5,1,8
2023-02-26,8,1,2,6,7,7,5,1,2,6
2023-02-27,7,2,6,7,6,9,2,2,6,1
2023-02-28,4,5,4,7,8,5,2,2,7,5
2023-03-01,5,8,1,7,7,9,8,2,2,3
2023-03-02,1,9,4,8,3,9,3,3,8,1
2023-03-03,2,7,1,4,3,1,4,9,7,7
2023-03-04,6,3,9,7,9,4,2,5,4,6
2023-03-05,1,7,5,5,8,8,4,3,6,8
2023-03-06,5,3,9,3,5,6,4,7,3,2
2023-03-07,3,8,2,6,4,4,6,7,8,6
2023-03-08,9,5,9,3,2,9,9,2,5,9
2023-03-09,9,7,1,3,9,6,8,7,9,5
2023-03-10,5,1,7,5,3,1,3,1,6,3
2023-03-11,4,8,9,9,7,1,2,2,3,5
2023-03-12,7,9,9,6,7,4,2,1,8,9
2023-03-13,4,2,8,7,7,2,4,5,7,9
2023-03-14,2,2,3,2,4,5,5,4,6,7
2023-03-15,3,6,7,8,4,9,5,3,4,9
2023-03-16,2,1,8,4,4,2,5,5,7,6
2023-03-17,5,1,6,8,9,1,8,4,7,6
2023-03-18,6,1,4,4,1,7,8,4,2,7
2023-03-19,2,2,1,2,8,1,1,8,3,8
2023-03-20,7,2,8,6,7,3,7,1,5,9
2023-03-21,6,1,9,5,5,1,6,6,6,5
2023-03-22,4,4,1,8,8,6,7,1,2,3
2023-03-23,7,4,1,4,6,9,4,7,4,8
2023-03-24,1,3,4,6,9,1,2,5,9,4
2023-03-25,9,6,9,3,7,9,7,4,1,4
2023-03-26,5,6,3,4,2,2,9,4,5,2
2023-03-27,7,4,9,4,5,5,4,6,7,4
