skills/dates,Informatica,SQL,Big Data,Cassandra,AWS,Data Modeling,XML,Scrum,Troubleshooting,Linux
2023-03-12,1,7,8,2,5,7,8,5,5,2
2023-03-13,2,2,1,4,6,2,3,1,4,5
2023-03-14,8,6,5,5,5,2,5,3,5,4
2023-03-15,4,9,6,1,3,3,5,7,2,6
2023-03-16,9,8,3,4,6,7,7,3,5,2
2023-03-17,9,2,6,9,5,7,9,4,7,8
2023-03-18,8,9,6,5,6,1,4,1,2,5
2023-03-19,2,1,3,2,2,9,1,1,7,7
2023-03-20,8,4,2,7,7,1,3,1,9,3
2023-03-21,9,5,1,8,2,8,8,3,9,8
2023-03-22,7,3,6,3,5,3,7,8,5,4
2023-03-23,4,1,9,5,3,1,4,1,8,9
2023-03-24,9,7,6,7,6,3,6,7,7,8
2023-03-25,9,6,8,7,1,7,8,7,2,3
2023-03-26,4,9,6,2,7,4,1,6,7,1
2023-03-27,3,5,7,5,4,1,3,3,6,8
