skills/dates,Java,python,Networking,angular,javascript,c++,Azure,Front End,Pandas,sql
2022-11-30,5,9,2,6,2,4,1,7,7,8
2022-12-01,9,5,6,7,6,8,4,9,1,6
2022-12-02,3,6,7,6,2,6,3,2,3,6
2022-12-03,8,3,8,3,5,3,3,5,4,8
2022-12-04,9,4,7,5,6,6,9,8,9,2
2022-12-05,2,3,2,1,3,2,2,7,2,3
2022-12-06,5,9,2,3,1,1,3,4,6,3
2022-12-07,5,3,2,7,6,9,8,6,1,7
2022-12-08,1,6,9,9,7,2,7,7,1,4
2022-12-09,5,7,3,6,3,4,7,5,3,4
2022-12-10,6,7,9,7,8,3,1,3,2,7
2022-12-11,5,9,1,1,3,6,7,5,3,5
2022-12-12,9,3,2,6,4,7,4,9,6,9
2022-12-13,4,5,7,3,4,3,8,1,3,5
2022-12-14,6,1,4,3,6,1,3,4,8,2
2022-12-15,6,4,6,9,5,3,8,8,5,9
2022-12-16,3,7,6,7,8,9,7,8,7,8
2022-12-17,9,6,2,7,2,5,6,2,7,7
2022-12-18,9,5,8,7,4,8,1,3,7,3
2022-12-19,3,8,1,7,1,1,4,2,6,2
2022-12-20,9,3,2,6,4,8,6,7,8,9
2022-12-21,7,3,4,8,4,7,7,6,2,3
2022-12-22,1,3,6,7,5,4,3,4,2,3
2022-12-23,5,8,7,2,9,8,3,4,2,3
2022-12-24,2,9,7,9,9,9,5,2,8,6
2022-12-25,1,8,5,7,4,8,8,2,8,6
2022-12-26,8,8,1,6,8,5,4,2,2,9
2022-12-27,4,6,1,7,7,4,6,1,5,1
2022-12-28,4,2,6,4,9,8,6,1,8,6
2022-12-29,1,3,5,3,6,2,1,6,6,5
2022-12-30,8,7,1,1,9,4,8,9,8,8
2022-12-31,6,8,4,9,1,3,1,5,3,8
2023-01-01,6,9,7,5,6,9,8,7,6,3
2023-01-02,1,7,8,9,8,7,6,8,3,3
2023-01-03,5,4,7,2,5,8,9,1,7,7
2023-01-04,9,7,7,7,3,1,2,3,5,3
2023-01-05,5,7,6,9,1,7,3,2,7,5
2023-01-06,9,4,7,1,8,4,8,3,5,6
2023-01-07,8,3,7,9,2,1,5,6,2,2
2023-01-08,3,2,3,5,4,3,8,8,6,4
2023-01-09,3,2,2,6,1,2,7,2,4,6
2023-01-10,3,2,4,5,9,4,6,9,4,9
2023-01-11,1,7,7,1,5,1,7,6,3,4
2023-01-12,7,9,8,3,8,4,2,8,1,9
2023-01-13,3,5,4,2,7,6,1,6,1,4
2023-01-14,5,4,8,3,2,6,7,1,8,3
2023-01-15,7,1,5,3,4,9,3,9,3,1
2023-01-16,2,4,7,7,4,1,7,5,6,3
2023-01-17,5,6,3,7,6,3,1,2,7,8
2023-01-18,4,9,5,4,8,3,5,8,5,1
2023-01-19,5,6,5,9,4,1,2,7,6,8
2023-01-20,9,3,3,8,3,9,8,1,2,5
2023-01-21,7,7,5,1,2,2,7,1,8,5
2023-01-22,3,2,5,9,3,5,1,5,4,7
2023-01-23,6,1,2,7,1,9,2,5,1,5
2023-01-24,6,9,4,2,5,2,4,1,9,4
2023-01-25,6,2,4,6,4,3,7,8,9,5
2023-01-26,6,3,9,3,6,9,5,1,4,1
2023-01-27,5,6,9,4,5,3,6,2,5,5
2023-01-28,1,9,8,8,7,7,8,1,6,5
2023-01-29,3,8,9,5,4,7,9,9,5,6
2023-01-30,3,6,8,4,9,3,6,7,3,5
2023-01-31,4,3,5,6,1,9,2,5,3,2
2023-02-01,9,5,7,9,3,1,9,2,4,6
2023-02-02,3,2,1,7,5,2,2,7,8,2
2023-02-03,2,6,4,2,9,1,4,7,1,5
2023-02-04,8,2,9,4,1,9,6,7,4,4
2023-02-05,1,6,3,9,6,5,5,6,9,5
2023-02-06,9,7,1,6,6,5,8,3,2,3
2023-02-07,7,5,5,9,8,7,9,5,4,4
2023-02-08,3,7,7,6,6,8,8,3,4,1
2023-02-09,8,1,4,5,8,1,1,4,1,1
2023-02-10,5,3,8,5,4,7,9,5,6,7
2023-02-11,9,6,7,4,3,1,5,3,6,1
2023-02-12,1,8,5,5,9,3,4,3,2,7
2023-02-13,5,5,5,5,9,3,8,4,7,4
2023-02-14,9,6,3,2,3,6,6,8,1,6
2023-02-15,8,8,8,1,4,3,6,3,1,9
2023-02-16,4,9,8,5,1,9,2,4,8,7
2023-02-17,7,4,7,1,4,6,7,4,8,6
2023-02-18,8,2,3,6,6,5,8,9,7,2
2023-02-19,2,5,2,5,8,1,7,5,3,4
2023-02-20,7,4,3,5,5,3,1,7,3,6
2023-02-21,7,9,1,6,4,5,9,6,8,9
2023-02-22,6,5,2,3,3,5,9,1,8,7
2023-02-23,8,2,6,7,2,1,2,1,7,4
2023-02-24,9,2,9,7,9,1,3,1,9,2
2023-02-25,8,5,4,1,9,8,4,1,3,8
2023-02-26,5,2,4,1,2,3,3,3,9,5
2023-02-27,5,4,3,4,9,1,8,5,3,9
2023-02-28,7,5,6,7,9,7,2,8,2,4
2023-03-01,5,6,2,1,9,3,3,1,3,3
2023-03-02,7,3,1,4,3,8,6,6,7,7
2023-03-03,1,7,7,6,1,5,7,7,1,1
2023-03-04,9,5,7,8,3,6,4,9,4,4
2023-03-05,7,1,7,2,8,1,2,1,6,1
2023-03-06,8,1,9,5,4,7,9,8,2,8
2023-03-07,1,8,2,6,9,8,6,5,7,4
2023-03-08,9,1,6,4,5,3,3,3,3,4
2023-03-09,6,5,1,1,4,5,3,6,5,9
2023-03-10,2,2,8,4,1,8,7,2,1,8
2023-03-11,7,6,6,3,1,7,8,9,7,5
2023-03-12,2,7,4,8,4,1,4,3,2,3
2023-03-13,8,9,8,3,9,6,9,4,1,4
2023-03-14,7,7,4,8,4,4,8,2,2,6
2023-03-15,6,5,7,3,8,1,4,6,5,2
2023-03-16,7,7,9,9,4,4,7,9,5,6
2023-03-17,6,3,9,7,4,3,5,6,5,1
2023-03-18,4,1,1,2,1,8,6,7,6,3
2023-03-19,8,8,7,7,3,8,2,6,7,3
2023-03-20,5,3,7,3,7,2,6,9,9,6
2023-03-21,6,3,3,3,5,9,7,2,1,3
2023-03-22,3,3,6,1,3,3,3,9,5,2
2023-03-23,4,4,4,7,7,1,9,3,5,6
2023-03-24,9,9,8,6,4,8,4,1,1,9
2023-03-25,1,9,1,3,2,6,7,2,6,1
2023-03-26,4,5,4,7,6,2,2,1,3,8
2023-03-27,2,9,2,7,5,8,5,2,2,7
